model_name,parameter,estimate,std_err,lci,uci
Model 18,log_q,0.614989551961756,0.007132033834100483,0.601168689582643,0.6291281558337517
Model 18,log_pe_cgoa,0.07008825817789911,0.015088600220538121,0.04596196618373017,0.10687889014092578
Model 18,log_pe_egoa,0.17615341279748994,0.030758147408569716,0.1251015700359606,0.2480386523629023
Model 18,log_pe_wgoa,0.10565248649356515,0.020991036016541523,0.07157527080807069,0.1559539737153787
