model_name,year,biomass,OFL,maxABC,percent_change
Model 22.1.b,2022,65630.91916638863,1968.9275749916587,1476.695681243744,0
Model 22.2.a,2022,63241.133528352075,1897.2340058505622,1422.9255043879216,-3.6412496859565997
Model 22.2.b,2022,74108.35491492473,2223.250647447742,1667.4379855858062,12.916832273892059
Model 22.2.c,2022,71584.05570518525,2147.5216711555577,1610.641253366668,9.070628012544098
Model 22.3,2022,81061.34677360371,2431.840403208111,1823.8803024060835,23.51091193480865
