model_name,year,biomass,OFL,maxABC
Model 18*,2023,71586.68984709485,2147.6006954128457,1610.7005215596341
Model 18* no 1984/87,2023,72086.15745231071,2162.5847235693213,1621.938542676991
Model 22,2023,71791.31130419724,2153.739339125917,1615.3045043444379
Model 22 no 1984/87,2023,72332.76916577763,2169.9830749733287,1627.4873062299966
