model_name,year,EGOA,CGOA,WGOA
Model 20,2022,0.3539373037776532,0.4657756891427898,0.18028700707955714
Model 22.1.a,2022,0.30604392570574773,0.45564302292620384,0.23831305136804845
Model 22.1.b,2022,0.31968022960218945,0.46403702902481464,0.21628274137299602
Model 22.2.a,2022,0.30854786935308837,0.4705300653555843,0.22092206529132738
Model 22.2.b,2022,0.34162492741943046,0.4479912855438171,0.21038378703675234
Model 22.2.c,2022,0.32649339274270056,0.4612501300954919,0.21225647716180765
Model 22.3,2022,0.34743332377774544,0.453266804022171,0.19929987220008355
