model_name,year,biomass,OFL,maxABC,percent_change
Model 18,2020,86802.04,2604.0611999999996,1953.0458999999998,0
Model 22.1.a,2020,74295.95209184721,2228.878562755416,1671.6589220665621,-14.407596766334965
